Year,Month,Date,Is.Diwali,Daytype,AQI,AQI_Category,Category
2019,January,1,NA,Weekdays,368,Very Poor,4
2019,January,2,NA,Weekdays,338,Very Poor,4
2019,January,3,NA,Weekdays,364,Very Poor,4
2019,January,4,NA,Weekdays,408,Severe,5
2019,January,5,NA,Weekends,382,Very Poor,4
2019,January,6,NA,Weekends,308,Very Poor,4
2019,January,7,NA,Weekdays,288,Poor,3
2019,January,8,NA,Weekdays,310,Very Poor,4
2019,January,9,NA,Weekdays,335,Very Poor,4
2019,January,10,NA,Weekdays,364,Very Poor,4
2019,January,11,NA,Weekdays,363,Very Poor,4
2019,January,12,NA,Weekends,402,Severe,5
2019,January,13,NA,Weekends,374,Very Poor,4
2019,January,14,NA,Weekdays,402,Severe,5
2019,January,15,NA,Weekdays,386,Very Poor,4
2019,January,16,NA,Weekdays,314,Very Poor,4
2019,January,17,NA,Weekdays,340,Very Poor,4
2019,January,18,NA,Weekdays,364,Very Poor,4
2019,January,19,NA,Weekends,399,Very Poor,4
2019,January,20,NA,Weekends,396,Very Poor,4
2019,January,21,NA,Weekdays,397,Very Poor,4
2019,January,22,NA,Weekdays,410,Severe,5
2019,January,23,NA,Weekdays,419,Severe,5
2019,January,24,NA,Weekdays,373,Very Poor,4
2019,January,25,NA,Weekdays,323,Very Poor,4
2019,January,26,NA,Weekends,284,Poor,3
2019,January,27,NA,Weekends,248,Poor,3
2019,January,28,NA,Weekdays,245,Poor,3
2019,January,29,NA,Weekdays,214,Poor,3
2019,January,30,NA,Weekdays,237,Poor,3
2019,January,31,NA,Weekdays,275,Poor,3
2019,February,1,NA,Weekdays,328,Very Poor,4
2019,February,2,NA,Weekends,338,Very Poor,4
2019,February,3,NA,Weekends,338,Very Poor,4
2019,February,4,NA,Weekdays,306,Very Poor,4
2019,February,5,NA,Weekdays,322,Very Poor,4
2019,February,6,NA,Weekdays,340,Very Poor,4
2019,February,7,NA,Weekdays,332,Very Poor,4
2019,February,8,NA,Weekdays,306,Very Poor,4
2019,February,9,NA,Weekends,262,Poor,3
2019,February,10,NA,Weekends,151,Moderate,2
2019,February,11,NA,Weekdays,178,Moderate,2
2019,February,12,NA,Weekdays,248,Poor,3
2019,February,13,NA,Weekdays,264,Poor,3
2019,February,14,NA,Weekdays,331,Very Poor,4
2019,February,15,NA,Weekdays,344,Very Poor,4
2019,February,16,NA,Weekends,254,Poor,3
2019,February,17,NA,Weekends,212,Poor,3
2019,February,18,NA,Weekdays,228,Poor,3
2019,February,19,NA,Weekdays,298,Poor,3
2019,February,20,NA,Weekdays,208,Poor,3
2019,February,21,NA,Weekdays,298,Poor,3
2019,February,22,NA,Weekdays,212,Poor,3
2019,February,23,NA,Weekends,226,Poor,3
2019,February,24,NA,Weekends,254,Poor,3
2019,February,25,NA,Weekdays,186,Moderate,2
2019,February,26,NA,Weekdays,123,Moderate,2
2019,February,27,NA,Weekdays,64,Satisfactory,1
2019,February,28,NA,Weekdays,68,Satisfactory,1
2019,March,1,NA,Weekdays,167,Moderate,2
2019,March,2,NA,Weekends,174,Moderate,2
2019,March,3,NA,Weekends,224,Poor,3
2019,March,4,NA,Weekdays,230,Poor,3
2019,March,5,NA,Weekdays,90,Satisfactory,1
2019,March,6,NA,Weekdays,150,Moderate,2
2019,March,7,NA,Weekdays,212,Poor,3
2019,March,8,NA,Weekdays,168,Moderate,2
2019,March,9,NA,Weekends,237,Poor,3
2019,March,10,NA,Weekends,218,Poor,3
2019,March,11,NA,Weekdays,110,Moderate,2
2019,March,12,NA,Weekdays,269,Poor,3
2019,March,13,NA,Weekdays,144,Moderate,2
2019,March,14,NA,Weekdays,205,Poor,3
2019,March,15,NA,Weekdays,222,Poor,3
2019,March,16,NA,Weekends,100,Satisfactory,1
2019,March,17,NA,Weekends,144,Moderate,2
2019,March,18,NA,Weekdays,98,Satisfactory,1
2019,March,19,NA,Weekdays,124,Moderate,2
2019,March,20,NA,Weekdays,122,Moderate,2
2019,March,21,NA,Weekdays,130,Moderate,2
2019,March,22,NA,Weekdays,91,Satisfactory,1
2019,March,23,NA,Weekends,117,Moderate,2
2019,March,24,NA,Weekends,228,Poor,3
2019,March,25,NA,Weekdays,202,Poor,3
2019,March,26,NA,Weekdays,204,Poor,3
2019,March,27,NA,Weekdays,130,Moderate,2
2019,March,28,NA,Weekdays,127,Moderate,2
2019,March,29,NA,Weekdays,168,Moderate,2
2019,March,30,NA,Weekends,94,Satisfactory,1
2019,March,31,NA,Weekends,106,Moderate,2
2019,April,1,NA,Weekdays,66,Satisfactory,1
2019,April,2,NA,Weekdays,75,Satisfactory,1
